StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE.DRINKING,HIGH.BLOOD.PRESSURE,BPMED_CrudePrev,CANCER..EXCLUDING.SKIN.CANCER.,ASTHMA,CORONARY.HEART.DISEASE,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION,DIABETES,GENERAL.HEALTH,HIGH.CHOLESTEROL,LPA_CrudePrev,MAMMOUSE_CrudePrev,POOR.MENTAL.HEALTH,OBESITY,POOR.PHYSICAL.HEALTH,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,"MOBILITY_CrudePrev	",SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,Geolocation
LA,Louisiana,Ascension,22005,22005030303,3938,2719,10,26,20,36,75,6,11,6,78,86,62,7,19,60,26,12,21,35,27,81,20,39,14,42,4,16,6,6,19,14,5,9,34,POINT (-90.9745119 30.2305798)
LA,Louisiana,Ascension,22005,22005030304,2153,1506,5,22,23,33,75,6,9,4,80,90,71,4,10,76,22,10,11,34,17,86,14,33,9,36,2,6,4,3,11,8,2,5,22,POINT (-91.012517 30.2409873)
LA,Louisiana,Ascension,22005,22005030403,2634,1995,12,29,19,36,75,7,11,8,78,85,64,9,21,55,27,14,24,37,31,76,21,40,16,42,4,15,8,7,21,17,5,11,39,POINT (-90.9548624 30.2398928)
LA,Louisiana,Ascension,22005,22005030404,2955,2187,11,28,18,37,77,7,11,7,79,87,66,8,20,57,26,14,23,35,30,79,20,40,15,42,4,19,7,7,20,17,5,11,37,POINT (-90.9170281 30.2440571)
LA,Louisiana,Ascension,22005,22005030405,4911,3669,12,28,18,38,78,6,10,7,81,88,67,7,17,60,24,14,21,35,28,82,19,41,14,43,4,15,6,7,17,16,5,9,35,POINT (-90.9214126 30.2198096)
LA,Louisiana,Ascension,22005,22005030406,4245,3195,9,25,19,38,77,6,10,6,80,87,69,6,15,64,23,13,18,33,25,83,18,39,12,43,3,14,5,5,16,13,4,8,32,POINT (-90.9399745 30.2263673)
LA,Louisiana,Ascension,22005,22005030501,3137,2440,8,28,21,35,78,8,9,7,79,89,69,7,15,69,25,12,16,38,23,84,16,34,12,37,3,12,7,4,15,12,3,7,30,POINT (-90.8780436 30.2223991)
LA,Louisiana,Ascension,22005,22005030502,2468,1821,8,31,21,34,77,8,11,8,77,87,65,10,22,59,30,13,22,38,29,79,21,37,16,39,4,15,9,6,20,16,5,10,38,POINT (-90.8594212 30.2168415)
LA,Louisiana,Ascension,22005,22005030503,3040,2295,7,28,23,37,78,9,9,6,79,87,70,7,14,71,27,11,14,39,20,81,17,34,12,36,3,12,7,4,14,11,3,7,29,POINT (-90.7619043 30.2145538)
LA,Louisiana,Ascension,22005,22005030600,5624,4151,10,27,21,37,76,7,10,7,78,85,67,8,19,61,26,13,21,36,28,81,20,38,14,41,4,14,7,6,19,15,4,9,35,POINT (-90.896376 30.1808735)
LA,Louisiana,Ascension,22005,22005030900,3906,2765,15,35,14,50,82,6,12,10,83,84,62,13,27,43,25,21,35,39,42,75,23,49,21,49,7,30,9,13,25,27,11,17,49,POINT (-91.0482577 30.1317387)
LA,Louisiana,Ascension,22005,22005031001,2304,1827,13,32,17,46,79,7,11,9,80,84,67,11,24,49,25,18,29,39,36,80,21,44,18,46,6,27,8,9,22,22,7,13,44,POINT (-90.9495061 30.0940059)
LA,Louisiana,Ascension,22005,22005031002,3527,2691,10,36,13,53,83,7,12,10,84,87,67,12,24,48,23,22,32,40,39,81,21,49,19,49,7,24,8,11,22,26,9,15,47,POINT (-90.9956687 30.0828909)
LA,Louisiana,Assumption,22007,22007050100,3245,2592,11,33,15,46,82,7,11,8,83,87,67,10,20,54,25,18,26,40,33,80,20,44,16,41,5,22,8,8,19,21,6,12,41,POINT (-91.0680757 30.0365757)
LA,Louisiana,Assumption,22007,22007050201,2822,2302,9,33,18,39,81,10,10,9,80,88,69,10,19,61,28,14,21,42,29,77,19,37,16,34,4,17,9,6,18,17,4,9,38,POINT (-91.2027143 29.9331929)
LA,Louisiana,Assumption,22007,22007050202,2159,1733,8,31,20,39,80,9,10,7,79,86,71,9,18,63,28,12,18,41,27,80,19,36,14,34,4,14,8,5,17,15,4,8,34,POINT (-91.1867502 29.9726148)
LA,Louisiana,Assumption,22007,22007050300,3419,2673,11,34,15,47,82,8,12,9,82,86,67,11,22,53,26,18,28,41,35,79,21,43,17,40,6,20,8,9,20,22,7,12,42,POINT (-91.0274496 29.9757324)
LA,Louisiana,Assumption,22007,22007050400,2895,2269,14,34,15,45,81,8,12,10,80,83,63,12,25,47,28,19,31,41,38,75,23,44,19,40,6,33,10,10,23,24,8,14,46,POINT (-91.0672285 29.921909)
LA,Louisiana,Assumption,22007,22007050500,2523,1940,13,37,14,50,83,7,12,10,83,85,64,13,25,46,26,22,33,42,40,77,22,47,20,43,7,28,10,11,22,27,9,15,47,POINT (-91.004046 29.8477519)
